Amplitude (DN),Elevation (m)
276.3201,57.79870969
278.8772,57.64897808
280.685,57.49924646
282.006,57.34951484
283.07742,57.19978323
284.12714,57.05005161
285.30173,56.90031999
286.8574,56.75058838
289.1345,56.60085676
292.37088,56.45112514
296.2945,56.30139352
300.24142,56.15166191
303.4606,56.00193029
305.7731,55.85219867
307.77066,55.70246706
310.43176,55.55273544
314.43747,55.40300382
319.63495,55.2532722
324.9425,55.10354059
329.02518,54.95380897
331.17377,54.80407735
331.75394,54.65434574
331.81912,54.50461412
332.17545,54.3548825
332.60507,54.20515089
332.15112,54.05541927
330.06134,53.90568765
326.60938,53.75595603
322.9379,53.60622442
320.18927,53.4564928
318.6522,53.30676118
318.0315,53.15702957
318.06204,53.00729795
318.81107,52.85756633
320.2312,52.70783471
321.77942,52.5581031
322.55716,52.40837148
322.30518,52.25863986
321.6495,52.10890825
321.71704,51.95917663
323.1683,51.80944501
325.79367,51.65971339
328.6403,51.50998178
330.72324,51.36025016
331.2461,51.21051854
329.8296,51.06078693
326.45074,50.91105531
321.45462,50.76132369
315.49097,50.61159208
309.54645,50.46186046
304.77365,50.31212884
302.20084,50.16239722
302.06903,50.01266561
303.42374,49.86293399
304.47263,49.71320237
303.68335,49.56347076
300.7332,49.41373914
296.6365,49.26400752
292.95547,49.1142759
290.85886,48.96454429
290.51358,48.81481267
291.04675,48.66508105
291.1233,48.51534944
289.97382,48.36561782
288.10156,48.2158862
287.0466,48.06615459
288.2133,47.91642297
291.80103,47.76669135
296.66278,47.61695973
300.98663,47.46722812
303.12222,47.3174965
302.16516,47.16776488
298.21487,47.01803327
292.41562,46.86830165
286.55685,46.71857003
282.24368,46.56883841
279.9906,46.4191068
279.01505,46.26937518
277.8138,46.11964356
275.30933,45.96991195
271.5457,45.82018033
267.6069,45.67044871
264.67188,45.52071709
263.19986,45.37098548
262.5923,45.22125386
261.76584,45.07152224
260.0416,44.92179063
257.7484,44.77205901
255.84816,44.62232739
255.09099,44.47259578
255.2591,44.32286416
255.3719,44.17313254
254.66054,44.02340092
253.51546,43.87366931
253.43312,43.72393769
255.90895,43.57420607
261.04886,43.42447446
267.2263,43.27474284
272.1308,43.12501122
274.2318,42.9752796
273.45108,42.82554799
270.64877,42.67581637
266.7985,42.52608475
262.66788,42.37635314
258.98883,42.22662152
256.5185,42.0768899
255.74527,41.92715829
256.57996,41.77742667
258.34912,41.62769505
260.15762,41.47796343
261.14322,41.32823182
260.67374,41.1785002
258.479,41.02876858
254.98329,40.87903697
